::1 - - [08/Jul/2020:08:17:15 +0000] "GET /list/ HTTP/1.1" 200 282 "http://127.0.0.1:5500/index.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
::1 - GET /list/ HTTP/1.1 304 - - 6.529 ms
::1 - GET /list/ HTTP/1.1 304 - - 0.770 ms
::1 - GET /list/ HTTP/1.1 304 - - 0.856 ms
::1 - GET /list/ HTTP/1.1 304 - - 6.760 ms
::1 - OPTIONS /list/1594195576105 HTTP/1.1 204 0 - 0.653 ms
::1 - DELETE /list/1594195576105 HTTP/1.1 200 246 - 3.790 ms
::1 - OPTIONS /list/1594132911432 HTTP/1.1 204 0 - 1.647 ms
::1 - DELETE /list/1594132911432 HTTP/1.1 200 210 - 7.761 ms
::1 - OPTIONS /list/1594132907484 HTTP/1.1 204 0 - 1.618 ms
::1 - DELETE /list/1594132907484 HTTP/1.1 200 170 - 7.734 ms
::1 - GET /profession HTTP/1.1 200 2 - 4.242 ms
::1 - GET /profession HTTP/1.1 500 2170 - 8.962 ms
::1 - GET /profession HTTP/1.1 500 1662 - 5.231 ms
::1 - GET /profession HTTP/1.1 500 1662 - 8.750 ms
::1 - GET /profession HTTP/1.1 200 2566 - 8.979 ms
::1 - GET /profession HTTP/1.1 200 157 - 8.917 ms
::1 - GET /profession/3 HTTP/1.1 200 37 - 12.741 ms
::1 - GET /profession/8 HTTP/1.1 200 2 - 3.759 ms
::1 - GET /profession/8 HTTP/1.1 200 2 - 9.089 ms
::1 - GET /profession/8 HTTP/1.1 200 2 - 5.600 ms
::1 - GET /profession/8 HTTP/1.1 200 2 - 8.817 ms
::1 - GET /profession/8 HTTP/1.1 404 25 - 9.024 ms
::1 - GET /profession/1 HTTP/1.1 200 43 - 9.684 ms
::1 - GET /profession/1 HTTP/1.1 200 41 - 9.483 ms
::1 - GET /profession/1 HTTP/1.1 200 43 - 10.000 ms
::1 - GET /profession/1 HTTP/1.1 200 41 - 9.598 ms
::1 - GET /profession/photographe HTTP/1.1 200 40 - 9.237 ms
::1 - POST /profession/photographe HTTP/1.1 404 162 - 19.476 ms
::1 - POST /profession/ HTTP/1.1 200 98 - 25.497 ms
::1 - POST /profession/ HTTP/1.1 200 1 - 19.280 ms
::1 - POST /profession/ HTTP/1.1 200 1 - 2.600 ms
::1 - POST /profession/ HTTP/1.1 200 - - 3.894 ms
::1 - POST /profession/ HTTP/1.1 200 1 - 19.974 ms
::1 - POST /profession/ HTTP/1.1 200 98 - 3.798 ms
::1 - POST /profession/ HTTP/1.1 200 1 - 35.599 ms
